sample	pearson_r	R2	spearman_rho
Control1	0.997021666457391	0.994052203385474	0.993463709549432
Control2	0.996643121366039	0.993297511366241	0.992043427439583
Control3	0.996916469505347	0.993842447171005	0.990539098820615
Control4	0.996843133236687	0.993696232281135	0.992837086084175
Control5	0.995769689524332	0.991557274575385	0.991102877337397
Control6	0.99531489952127	0.990651749209037	0.991322557212275
Control7	0.992668928236893	0.985391601086983	0.990656124550293
Control8	0.994288907639804	0.988610431855556	0.988769291645636
Control9	0.990264661861013	0.980624100530707	0.98499610838524
WB-2312090003	0.990611393026411	0.981310931993727	0.975128356402799
WH-2401230003	0.988507466514323	0.977147011354566	0.987604053163044
JM-2402070001	0.996571913413295	0.993155578604235	0.993471914730645
AY-2402230001	0.993389007664116	0.986821720547897	0.985988954312296
RP-2403190005	0.995613937818258	0.991247113177978	0.992300453217848
MW-2403190010	0.993211683682628	0.98646944860368	0.986077164228715
CM-2403190012	0.992616748433637	0.985288009270967	0.973942113130061
HF-2403200009	0.997405879247684	0.994818487957845	0.994991471704578
LS-2403210007	0.991621689036524	0.983313574167649	0.98499191403963
VG-2403270009	0.997226922152874	0.994461534266494	0.993615906494801
JH-2403270011	0.967054755656483	0.935194900437821	0.967685756405194
GT-2403270013	0.993126339400924	0.986299926011878	0.985603520998498
JP-2404030013	0.993926351192557	0.987889591594949	0.987394952317323
MB-2404030014	0.996975187529032	0.993959524548549	0.98995838268899
RO-2404040005	0.985419415705748	0.971051424849857	0.983908435322263
MD-2404240003	0.995186362421826	0.990395895950386	0.985935566657182
CD-2405010006	0.985683960081281	0.971572869161516	0.969405132462533
NC-2406110009	0.991344448901204	0.982763816367232	0.975832591502014
SC-2501240001	0.992504111346021	0.985064411038754	0.981697565372959
ES-2501240011	0.994085347177447	0.988205677472906	0.9894984205268
AM-2502190008	0.995769815203616	0.991557524870644	0.987174372436747
CD-2502260006	0.996258061774283	0.992530125650252	0.992213748640946
MW-2503010003	0.990156295525606	0.980409489568992	0.983543168579647
HB-2503080013	0.995571204890927	0.991162024007971	0.992475503737843
DS-2504260005	0.995753513612995	0.991525059872624	0.993967089095366
SP-2505030001	0.996655458453851	0.993322102865857	0.992738603177737
RW-2504190007	0.996049182036707	0.992113973035994	0.99035584070814
AY-2505100001	0.996232681007787	0.992479554707964	0.990252954368233
MD-2505140007	0.995571859264519	0.991163326959412	0.992911946909022
WB-2505240010	0.997212293388668	0.994432358085486	0.993645074932886
CI-2505310003	0.995643157383932	0.991305296845446	0.989853956550174
JD-2505310009	0.994606711033907	0.989242509633686	0.987763841826995
RA-2506040002	0.994522783399993	0.98907556670167	0.985207261101473
CM-2506190001	0.997985730817632	0.995975518915604	0.993789367830943
MC-2506190003	0.995343209429464	0.990708104557345	0.988528842241842
MA-2506250016	0.996900232771419	0.993810074099709	0.993334248997633
NB-2506280003	0.996147873932527	0.992310586740294	0.992699181048625
KS-2506280009	0.993583212191116	0.987207599548016	0.987386107470432
GT-2509040001	0.996145060562039	0.992304981682148	0.993872883315892
EC-2509040003	0.992192069869034	0.984445103510999	0.990514832851554
RF-2509060008	0.99367611658353	0.987392224668525	0.987963284543957
HF-2509100003	0.996728248261678	0.993467200882793	0.991950538783006
RO-2509150003	0.991314916065809	0.982705262814562	0.992410630022435
PW-2509150011	0.994616479918371	0.989261942125212	0.989163227781766
SC-2509220001	0.993804581834487	0.98764754687522	0.986730445950163
