	Patient_Mean	Patient_Std	Control_Mean	Control_Std	Absolute_Difference	Relative_Difference	Fold_Change	Log2_Fold_Change	P_Value	Test_Type	Significant
CD4.positive..alpha.beta.T.cell	0.14455832170289107	0.0776309557426036	0.2145145710557699	0.04168312617015062	-0.06995624935287884	-0.3261142075737665	0.6738857924262335	-0.5694239851738929	0.01577582659030565	Mann-Whitney U (two-sample)	True
macrophage	0.42830352834540375	0.052739450090363335	0.3705277506027422	0.025496446035212016	0.05777577774266157	0.15592834180078816	1.1559283418007882	0.2090519651976177	0.00159615677655937	Mann-Whitney U (two-sample)	True
endothelial.cell	0.03472863709618289	0.031335053961126666	0.05960314548828438	0.01144305923161208	-0.024874508392101494	-0.4173354977882977	0.5826645022117023	-0.7792626751290578	0.01856575994928021	Mann-Whitney U (two-sample)	True
mast.cell	0.020765142365125007	0.0173009947096761	0.0	0.0	0.020765142365125007	inf	inf	inf	0.00013362681823833104	Mann-Whitney U (two-sample)	True
neutrophil	0.09169748026109582	0.026669271339157006	0.07504259699201157	0.016321683897212155	0.01665488326908425	0.22193905777084438	1.2219390577708444	0.2891723348749674	0.04110085323900964	Mann-Whitney U (two-sample)	True
smooth.muscle.cell	0.05070760426333604	0.02380309410578287	0.03572767557963532	0.009432098698072912	0.014979928683700718	0.4192808079638754	1.4192808079638755	0.5051600581632958	0.04850922427380066	Mann-Whitney U (two-sample)	True
CD8.positive..alpha.beta.T.cell	0.18475587298173274	0.0316151229567666	0.19546874402256165	0.013226009076670682	-0.010712871040828909	-0.05480605656110623	0.9451939434388937	-0.0813177099669139	0.41658371785687753	Mann-Whitney U (two-sample)	False
natural.killer.cell	0.043446706669294295	0.015445826872253121	0.04911551625899449	0.008815053074716077	-0.005668809589700195	-0.11541789685784011	0.8845821031421599	-0.17693204094973752	0.13138236402477071	Mann-Whitney U (two-sample)	False
vein.endothelial.cell	0.00103670631493826	0.0034634207897386114	0.0	0.0	0.00103670631493826	inf	inf	inf	0.15265381902299738	Mann-Whitney U (two-sample)	False
endothelial.cell.of.artery	0.0	0.0	0.0	0.0	0.0	inf	inf	-inf	1.0	Mann-Whitney U (two-sample)	False
capillary.endothelial.cell	0.0	0.0	0.0	0.0	0.0	inf	inf	-inf	1.0	Mann-Whitney U (two-sample)	False
fibroblast	0.0	0.0	0.0	0.0	0.0	inf	inf	-inf	1.0	Mann-Whitney U (two-sample)	False
pericyte	0.0	0.0	0.0	0.0	0.0	inf	inf	-inf	1.0	Mann-Whitney U (two-sample)	False
